Employee ID;Date of Joining;Gender;Company Type;WFH Setup Available;Designation;Resource Allocation;Mental Fatigue Score;Salary
fffe31003300390039003000;39792;Female;Service;No;2.0;5.0;7.7;7000
fffe31003300310037003800;39674;Female;Product;Yes;1.0;2.0;5.2;12000
fffe33003400380035003900;39765;Male;Product;Yes;1.0;3.0;5.9;9000
fffe3100370039003200;39485;Female;Service;No;3.0;6.0;;4000
fffe32003600390036003700;39646;Female;Product;No;2.0;5.0;6.4;8000
fffe3600390032003200;39710;Male;Product;No;3.0;5.0;6.5;3000
fffe3600370032003200;39463;Female;Service;Yes;2.0;3.0;4.7;3000
fffe32003900390030003000;39488;Male;Service;No;2.0;5.0;8.5;8000
fffe3100370031003000;39670;Male;Product;Yes;2.0;5.0;7.6;14000
fffe31003500320037003600;39588;Male;Product;Yes;2.0;5.0;5.7;7000
fffe3400370031003100;39799;Male;Service;Yes;2.0;5.0;5.2;5000
fffe32003800300035003300;39533;Female;Service;Yes;2.0;5.0;4.4;6000
fffe31003700380037003700;39505;Male;Service;Yes;1.0;4.0;5.1;4000
fffe33003400300038003900;39479;Female;Service;No;3.0;6.0;7.1;11000
fffe33003100300039003600;39608;Female;Product;No;4.0;6.0;7.4;14000
fffe33003400380038003300;39790;Male;Service;No;4.0;7.0;6.2;9000
fffe33003400310032003500;39709;Female;Product;Yes;4.0;7.0;;12000
fffe33003400360032003000;39574;Male;Service;Yes;3.0;7.0;9.2;14000
fffe32003800360033003400;39683;Female;Service;Yes;1.0;3.0;3.7;12000
fffe3600350031003700;39477;Male;Service;Yes;3.0;4.0;5.6;6000
fffe3200310033003500;39739;Female;Product;No;1.0;3.0;5.1;1000
fffe370039003500;39582;Female;Product;No;1.0;1.0;3.1;15000
fffe32003500340036003200;39771;Male;Service;No;2.0;4.0;6.0;12000
fffe360038003200;39571;Female;Product;No;3.0;7.0;7.2;12000
fffe31003800300039003900;39767;Female;Service;No;3.0;4.0;7.1;4000
fffe32003500310034003200;39561;Female;Service;No;2.0;4.0;5.2;10000
fffe33003100320039003300;39727;Female;Service;No;2.0;4.0;6.2;14000
fffe33003000330034003700;39508;Female;Service;No;1.0;3.0;4.7;6000
fffe32003500310039003300;39571;Female;Product;No;1.0;4.0;4.4;5000
fffe31003500310033003200;39660;Female;Service;No;0.0;1.0;5.4;6000
fffe31003900320038003800;39523;Male;Service;Yes;1.0;2.0;5.9;4000
fffe31003400340039003000;39748;Male;Service;No;5.0;9.0;9.6;14000
fffe390033003000;39463;Female;Service;Yes;1.0;2.0;5.6;7000
fffe3700360033003400;39490;Female;Service;Yes;0.0;1.0;0.0;6000
fffe31003700390034003900;39533;Female;Service;Yes;0.0;1.0;2.8;10000
fffe31003700360035003900;39550;Male;Service;Yes;3.0;7.0;7.4;8000
fffe31003200370037003900;39574;Female;Product;Yes;3.0;4.0;4.7;9000
fffe31003400310038003500;39551;Female;Product;Yes;2.0;5.0;4.8;7000
fffe32003200370033003000;39761;Male;Product;Yes;2.0;3.0;5.9;6000
fffe31003300320036003300;39538;Female;Product;Yes;1.0;3.0;4.6;6000
fffe3900390034003600;39774;Male;Service;No;2.0;4.0;7.8;12000
fffe32003300310032003600;39472;Male;Product;No;1.0;1.0;4.1;13000
fffe3500360039003300;39516;Female;Service;No;3.0;7.0;10.0;8000
fffe3700340039003900;39459;Male;Product;Yes;4.0;7.0;8.4;9000
fffe31003400370032003200;39678;Female;Service;No;1.0;4.0;3.9;14000
fffe360032003200;39798;Male;Product;Yes;1.0;3.0;3.4;1000
fffe33003100340030003600;39572;Male;Service;Yes;4.0;8.0;7.0;4000
fffe31003500300037003700;39735;Male;Service;Yes;2.0;4.0;4.0;2000
fffe31003600390038003800;39765;Male;Service;Yes;1.0;3.0;5.0;10000
fffe33003300360030003500;39452;Male;Service;No;3.0;7.0;6.0;7000
fffe3900380030003300;39788;Male;Service;Yes;2.0;4.0;4.4;9000
fffe31003700330034003500;39712;Female;Product;Yes;3.0;4.0;4.9;1000
fffe31003500360036003900;39705;Male;Product;Yes;3.0;5.0;;15000
fffe3200380033003100;39518;Male;Product;Yes;3.0;7.0;7.1;2000
fffe3900360033003900;39742;Male;Product;No;3.0;7.0;7.8;7000
fffe33003000370031003200;39639;Female;Service;No;3.0;5.0;6.8;11000
fffe32003700370036003200;39530;Female;Product;Yes;2.0;2.0;3.3;12000
fffe31003400320034003300;39715;Male;Product;No;2.0;4.0;5.7;5000
fffe32003600360034003200;39547;Female;Service;Yes;1.0;2.0;4.0;4000
fffe32003700380035003100;39766;Female;Service;No;3.0;7.0;8.4;2000
fffe31003400350034003200;39492;Female;Service;No;0.0;1.0;3.2;12000
fffe31003000320038003200;39639;Male;Service;No;2.0;5.0;6.9;4000
fffe32003400300030003800;39725;Female;Product;No;1.0;4.0;7.0;13000
fffe32003600320038003300;39669;Female;Product;No;3.0;5.0;5.6;13000
fffe3300340035003700;39503;Male;Service;Yes;1.0;3.0;5.1;12000
fffe31003900320032003000;39682;Male;Service;Yes;1.0;2.0;5.2;1000
fffe3300370032003100;39463;Female;Service;Yes;2.0;4.0;4.3;10000
fffe33003300350038003900;39648;Female;Product;Yes;2.0;3.0;2.7;10000
fffe32003900360038003700;39792;Male;Product;Yes;1.0;3.0;3.6;12000
fffe3100380033003400;39453;Male;Service;No;3.0;5.0;6.6;7000
fffe3900390032003500;39797;Male;Service;No;0.0;1.0;3.0;4000
fffe32003200320035003600;39706;Male;Product;No;1.0;2.0;3.7;6000
fffe32003700380031003900;39493;Female;Service;Yes;1.0;2.0;3.4;14000
fffe3400330034003000;39541;Female;Service;Yes;2.0;3.0;5.8;13000
fffe33003300380035003400;39812;Male;Service;Yes;2.0;3.0;;1000
fffe3300380034003000;39642;Female;Service;No;2.0;4.0;7.2;2000
fffe32003500360039003200;39755;Female;Product;No;4.0;7.0;6.5;9000
fffe31003700360038003600;39632;Male;Product;Yes;1.0;3.0;5.9;7000
fffe33003300370036003200;39693;Male;Service;No;2.0;6.0;7.0;5000
fffe3200340039003500;39555;Female;Product;No;2.0;4.0;7.2;14000
fffe3600300036003500;39798;Male;Service;Yes;4.0;7.0;7.8;6000
fffe31003300370032003000;39721;Male;Product;Yes;4.0;7.0;6.5;10000
fffe3700360036003700;39576;Female;Service;No;4.0;7.0;7.4;1000
fffe33003200390030003200;39608;Male;Service;No;0.0;1.0;2.5;8000
fffe31003500340035003100;39493;Female;Service;Yes;2.0;6.0;7.4;3000
fffe33003000350035003300;39775;Female;Service;No;0.0;1.0;1.0;10000
fffe31003400300036003000;39504;Female;Service;No;4.0;8.0;7.9;9000
fffe31003700330035003200;39497;Male;Product;No;2.0;4.0;6.0;8000
fffe33003000320032003400;39498;Male;Product;No;3.0;5.0;5.2;15000
fffe32003300350034003700;39529;Female;Product;No;2.0;3.0;3.3;12000
fffe32003200340034003400;39497;Female;Service;Yes;3.0;5.0;4.3;11000
fffe3800380035003100;39657;Female;Service;No;1.0;3.0;2.2;13000
fffe33003100310039003900;39476;Female;Product;No;3.0;6.0;7.4;9000
fffe3700330032003300;39599;Male;Service;Yes;1.0;4.0;4.9;8000
fffe32003300390033003900;39754;Female;Service;Yes;2.0;5.0;6.1;3000
fffe31003500370037003700;39781;Male;Product;No;2.0;5.0;4.2;2000
fffe32003000310035003500;39532;Female;Service;Yes;1.0;1.0;4.6;14000
fffe38003200;39797;Male;Service;Yes;3.0;8.0;8.0;10000
fffe31003900310032003600;39720;Female;Product;No;4.0;7.0;8.6;6000
fffe32003200320039003900;39718;Female;Service;Yes;1.0;2.0;3.3;4000
fffe33003000360035003200;39684;Male;Service;Yes;3.0;6.0;5.2;3000
fffe33003100390031003800;39612;Male;Product;Yes;3.0;6.0;;10000
fffe32003800360031003400;39530;Male;Product;No;2.0;6.0;8.1;5000
fffe32003300320034003300;39612;Male;Service;Yes;3.0;7.0;8.1;9000
fffe3800330032003400;39682;Male;Product;No;2.0;4.0;5.6;10000
fffe3600380038003000;39728;Female;Service;Yes;2.0;5.0;4.7;11000
fffe32003500320030003700;39767;Male;Product;Yes;1.0;3.0;4.5;10000
fffe33003400330032003600;39745;Female;Service;Yes;1.0;1.0;4.9;3000
fffe32003300380030003600;39562;Male;Service;Yes;4.0;6.0;8.2;4000
fffe31003000360032003900;39676;Male;Service;Yes;3.0;7.0;8.6;5000
fffe3300310032003500;39640;Female;Product;Yes;1.0;2.0;4.1;15000
fffe3200320033003000;39533;Male;Service;No;4.0;9.0;7.9;9000
fffe340032003600;39627;Male;Service;Yes;1.0;3.0;6.2;10000
fffe3900390036003500;39560;Male;Product;Yes;4.0;9.0;9.2;7000
fffe3900310039003900;39464;Female;Service;Yes;1.0;2.0;6.1;4000
fffe3700390037003100;39712;Male;Service;Yes;3.0;6.0;4.3;3000
fffe31003200340031003600;39538;Male;Service;No;3.0;5.0;7.8;1000
fffe33003200380038003800;39648;Male;Service;No;2.0;3.0;4.9;2000
fffe32003400380038003200;39565;Male;Service;Yes;3.0;5.0;5.0;6000
fffe32003300330037003600;39542;Female;Service;No;1.0;3.0;3.8;5000
fffe33003400360030003700;39701;Female;Service;No;3.0;5.0;4.6;9000
fffe31003900340030003800;39454;Female;Service;Yes;2.0;4.0;4.7;13000
fffe33003400300037003400;39622;Male;Product;Yes;2.0;3.0;6.5;12000
fffe3400360035003700;39549;Male;Product;No;3.0;6.0;6.0;14000
fffe33003000340039003100;39588;Female;Service;No;2.0;4.0;6.7;6000
fffe32003000390030003300;39559;Female;Product;No;3.0;6.0;7.2;5000
fffe32003800300030003000;39532;Male;Service;No;2.0;2.0;2.2;6000
fffe32003500300032003800;39493;Female;Product;No;1.0;3.0;6.0;9000
fffe3800330032003700;39589;Male;Product;No;4.0;7.0;;2000
fffe32003900380039003600;39756;Female;Service;Yes;2.0;2.0;4.3;8000
fffe3200310031003300;39529;Female;Service;Yes;2.0;4.0;4.3;14000
fffe32003700350038003000;39735;Female;Product;Yes;2.0;3.0;6.7;12000
fffe31003800370033003700;39721;Male;Service;No;2.0;3.0;6.1;8000
fffe33003300380038003100;39570;Male;Service;No;3.0;7.0;8.6;10000
fffe31003400340030003400;39576;Male;Service;Yes;2.0;4.0;4.4;5000
fffe31003000340030003400;39488;Female;Product;No;2.0;4.0;4.3;3000
fffe31003400330032003700;39600;Female;Service;Yes;1.0;2.0;2.5;1000
fffe31003700310030003300;39666;Female;Product;No;3.0;5.0;6.9;15000
fffe31003300310033003300;39635;Male;Product;No;3.0;8.0;7.9;13000
fffe33003400330031003500;39743;Male;Service;No;3.0;6.0;6.6;7000
fffe32003800300036003800;39729;Male;Product;Yes;3.0;6.0;8.0;3000
fffe33003000300032003900;39600;Female;Service;No;0.0;1.0;0.0;3000
fffe32003800390035003700;39603;Male;Product;Yes;2.0;4.0;4.1;5000
fffe3400320036003200;39697;Female;Service;Yes;3.0;5.0;6.6;7000
fffe33003200390038003700;39659;Female;Service;Yes;2.0;3.0;6.6;8000
fffe33003100380035003700;39759;Male;Service;No;1.0;2.0;3.7;12000
fffe32003900350032003100;39487;Female;Service;Yes;0.0;1.0;0.0;11000
fffe31003400360032003800;39620;Female;Service;Yes;4.0;8.0;8.0;13000
fffe32003500340030003200;39691;Female;Service;Yes;1.0;1.0;4.4;13000
fffe32003600330035003300;39707;Female;Service;Yes;1.0;2.0;5.1;7000
fffe3700320033003600;39723;Female;Product;Yes;2.0;3.0;4.8;1000
fffe31003400310033003000;39488;Male;Service;Yes;2.0;5.0;5.3;1000
fffe31003400380034003800;39660;Female;Service;No;2.0;4.0;;11000
fffe32003300340039003700;39669;Female;Product;Yes;1.0;4.0;5.7;12000
